Year,Region Code,Region,BNF Chemical Substance Code,BNF Chemical Substance,BNF Product Code,BNF Product,Items,Total number of unique identified patients,Patient Identified (Y/N),Patient Age Band (Years old),Gender,Net Ingredient Cost (£),Adult obesity rate 2022/23 (%)
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,1,0,N,50-59,Not Known (not recorded),39.24,20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,5,0,N,60+,Not Known (not recorded),431.64,20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,116,102,Y,18-29,Female,"12,517.56",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,44,40,Y,18-29,Male,"5,336.64",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,342,287,Y,30-39,Female,"39,436.20",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,157,133,Y,30-39,Male,"20,326.32",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"1,137","1,009",Y,40-49,Female,"154,409.40",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,691,587,Y,40-49,Male,"91,350.72",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"3,139","2,751",Y,50-59,Female,"412,687.08",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"2,473","2,168",Y,50-59,Male,"321,493.32",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"6,877","5,923",Y,60+,Female,"948,705.48",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"5,542","4,928",Y,60+,Male,"767,259.72",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,2,0,N,50-59,Not Known (not recorded),235.44,20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,1,0,N,60+,Not Known (not recorded),78.48,20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,48,40,Y,18-29,Female,"6,906.24",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,54,47,Y,18-29,Male,"6,906.24",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,250,224,Y,30-39,Female,"29,704.68",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,130,120,Y,30-39,Male,"14,871.96",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,846,738,Y,40-49,Female,"93,351.96",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,489,443,Y,40-49,Male,"56,780.28",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"1,890","1,639",Y,50-59,Female,"228,455.28",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"1,431","1,253",Y,50-59,Male,"172,695.24",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"3,403","3,023",Y,60+,Female,"439,331.04",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,"3,298","2,888",Y,60+,Male,"418,023.72",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,26,26,Y,18-29,Female,"4,198.68",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,12,10,Y,18-29,Male,"2,001.24",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,123,106,Y,30-39,Female,"20,365.56",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,27,23,Y,30-39,Male,"4,277.16",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,171,145,Y,40-49,Female,"34,531.20",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,63,57,Y,40-49,Male,"11,497.32",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,231,201,Y,50-59,Female,"41,319.72",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,62,58,Y,50-59,Male,"9,810.00",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,159,106,Y,60+,Female,"25,819.92",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBC,Saxenda,100,81,Y,60+,Male,"19,306.08",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,1,0,N,60+,Not Known (not recorded),57.93,20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,2,2,Y,30-39,Male,231.72,20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,25,22,Y,40-49,Female,"1,651.04",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,24,20,Y,40-49,Male,"1,364.06",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,88,76,Y,50-59,Female,"7,067.48",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,72,64,Y,50-59,Male,"4,981.98",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,144,129,Y,60+,Female,"11,643.97",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIAA,Lixisenatide,112,106,Y,60+,Male,"10,224.70",20.88973
Dec 22 - Nov 23,Y56,LONDON,0601023AI,Lixisenatide,0601023AIBB,Lyxumia,6,6,Y,40-49,Female,637.23,20.88973
