Year,Region Code,Region,BNF Chemical Substance Code,BNF Chemical Substance,BNF Product Code,BNF Product,Items,Total number of unique identified patients,Patient Identified (Y/N),Patient Age Band (Years old),Gender,Net Ingredient Cost (£)
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,1,0,N,50-59,Not Known (not recorded),39.24
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,5,0,N,60+,Not Known (not recorded),431.64
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,116,102,Y,18-29,Female,"12,517.56"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,44,40,Y,18-29,Male,"5,336.64"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,342,287,Y,30-39,Female,"39,436.20"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,157,133,Y,30-39,Male,"20,326.32"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"1,137","1,009",Y,40-49,Female,"154,409.40"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,691,587,Y,40-49,Male,"91,350.72"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"3,139","2,751",Y,50-59,Female,"412,687.08"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"2,473","2,168",Y,50-59,Male,"321,493.32"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"6,877","5,923",Y,60+,Female,"948,705.48"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABAA,Liraglutide,"5,542","4,928",Y,60+,Male,"767,259.72"
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,2,0,N,50-59,Not Known (not recorded),235.44
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,1,0,N,60+,Not Known (not recorded),78.48
Dec 22 - Nov 23,Y56,LONDON,0601023AB,Liraglutide,0601023ABBB,Victoza,48,40,Y,18-29,Female,"6,906.24"
