Region Code,Region,Patient Age Band (Years old),Gender,items,patients,net_cost,obesity_rate,items_per_patient,cost_per_item,cost_per_patient,gender_items_share,gender_is_female,gender_is_male,items_yoy_pct,patients_yoy_pct,net_cost_yoy_pct,items_dulaglutide,items_exenatide,items_insulin_combo,items_liraglutide,items_lixisenatide,items_semaglutide,items_tirzepatide,share_yoy_pct,share_dulaglutide,share_exenatide,share_insulin_combo,share_liraglutide,share_lixisenatide,share_semaglutide,share_tirzepatide
Y56,LONDON,18-29,Female,2071,1796,224883.45,20.88973,1.1531180400890868,108.5868903911154,125.2135022271715,0.6401854714064915,1.0,0.0,0.09705456301303718,0.07405345211581292,0.14816061386464852,654.0,9.0,8.0,190.0,0.0,1210.0,0.0,4.686142679755537e-05,0.315774675338906,0.004345523055122561,0.0038626871601089422,0.09173882005258738,0.0,0.5842314329664775,0.0
Y56,LONDON,18-29,Male,1162,1008,121990.65,20.88973,1.1527777777777777,104.98334767641997,121.02247023809524,0.3591962905718702,0.0,1.0,-0.00946643717728055,-0.04265873015873016,0.05717036510585045,412.0,6.0,8.0,110.0,0.0,626.0,0.0,-8.146742080811237e-06,0.35456399006689954,0.0051635532534014495,0.006884737671201933,0.09466514297902658,0.0,0.5387307227715513,0.0
Y56,LONDON,18-29,Not Known (not recorded),2,0,146.5,20.88973,0.0,73.25,0.0,0.0006182380216383308,0.0,0.0,1.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0
Y56,LONDON,30-39,Female,7272,6163,766462.37,20.88973,1.1799448320623074,105.39911578657866,124.36514197631024,0.6183673469387755,1.0,0.0,0.08402090209020902,0.06620152523121857,0.12626930399727262,2916.0,55.0,18.0,715.0,0.0,3568.0,0.0,1.1553895946293861e-05,0.40098546601202156,0.007563168940555962,0.002475218926000133,0.09832119622722751,0.0,0.4906433959982486,0.0
Y56,LONDON,30-39,Male,4484,3800,468268.69,20.88973,1.18,104.43101917930419,123.22860263157895,0.3812925170068027,0.0,1.0,0.009812667261373774,0.006578947368421052,0.04770239923578913,1754.0,33.0,21.0,314.0,2.0,2360.0,0.0,2.188368819723171e-06,0.3911677434435972,0.007359484340729024,0.004683308216827561,0.07002660857542163,0.0004460293539835772,0.5263146377006211,0.0
Y56,LONDON,30-39,Not Known (not recorded),4,0,366.25,20.88973,0.0,91.5625,0.0,0.0003401360544217687,0.0,0.0,0.0,0.0,0.25119453924914675,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Y56,LONDON,40-49,Female,21275,18009,2192820.11,20.889730000000004,1.181353767560664,103.07027544065804,121.76245821533676,0.5798898822503271,1.0,0.0,0.0066274970622796706,-0.015270142706424565,0.0415235885446163,9288.0,167.0,84.0,2154.0,31.0,9551.0,0.0,3.1151562856454793e-07,0.43656860665771285,0.007849586273884372,0.003948294892253217,0.10124556187992179,0.0014571088292839253,0.4489305299513152,0.0
Y56,LONDON,40-49,Male,15397,13117,1555794.03,20.889730000000004,1.17382023328505,101.04527050724167,118.6089829991614,0.4196740078499782,0.0,1.0,-0.006040137689160226,-0.03354425554623771,0.02904921161061394,8127.0,173.0,69.0,1243.0,28.0,5756.0,1.0,-3.922933077005793e-07,0.527830303836313,0.01123595946396975,0.00448139423707464,0.08073004400990982,0.0018185367918563758,0.3738392062116178,6.494774256629914e-05
Y56,LONDON,40-49,Not Known (not recorded),16,0,1666.44,20.88973,0.0,104.1525,0.0,0.0004361098996947231,0.0,0.0,-0.25,0.0,-0.17638798876647227,9.0,0.0,0.0,0.0,0.0,7.0,0.0,-0.015873015873015872,0.5714285714285714,0.0,0.0,0.0,0.0,0.4444444444444444,0.0
Y56,LONDON,50-59,Female,46865,39871,4894342.2,20.88973,1.175415715683078,104.43491304811694,122.75443806275239,0.5479043666335418,1.0,0.0,-0.03249759948789075,-0.05440044142359108,-0.0096783812950391,22521.0,519.0,151.0,5260.0,94.0,18320.0,0.0,-6.934305349987954e-07,0.4805508506721237,0.011074370209974345,0.0032220229319963895,0.1122373551145762,0.002005762619918282,0.390910331881946,0.0
