Source,Year,Area Code,Area Name,Area Type,Healthy People Domain,Difficulties in daily life [Pe],Disability [Pe1],Frailty [Pe1],Mental health [Pe],"Children's social, emotional and mental health [Pe2]",Mental health conditions [Pe2],Self-harm [Pe2],Suicides [Pe2],Mortality [Pe],Avoidable mortality [Pe3],Infant mortality [Pe3],Life expectancy [Pe3],Mortality from all causes [Pe3],Personal well-being [Pe],Activities in life are worthwhile [Pe4],Feelings of anxiety [Pe4],Happiness [Pe4],Life satisfaction [Pe4],Physical health conditions [Pe],Cancer [Pe5],Cardiovascular conditions [Pe5],Dementia [Pe5],Diabetes [Pe5],Kidney and liver disease [Pe5],Musculoskeletal conditions [Pe5],Respiratory conditions [Pe5],Healthy Lives Domain,Behavioural risk factors [L],Alcohol misuse [L1],Drug misuse [L1],Healthy eating [L1],Physical activity [L1],Sedentary behaviour [L1],Sexually transmitted infections [L1],Smoking [L1],Children and young people [L],Early years development [L2],Pupil absences [L2],Pupil attainment [L2],Teenage pregnancy [L2],"Young people in education, employment and apprenticeships [L2]",Physiological risk factors [L],High blood pressure [L3],Low birth weight [L3],Overweight and obesity in adults [L3],Overweight and obesity in children [L3],Protective measures [L],Cancer screening attendance [L4],Child vaccination coverage [L4],Healthy Places Domain,Access to green space [Pl],Private outdoor space [Pl1],Access to services [Pl],Distance to GP services [Pl2],Distance to pharmacies [Pl2],Distance to sports or leisure facilities [Pl2],Internet access [Pl2],Patients offered acceptable GP practice appointments [Pl2],Crime [Pl],Low-level crime [Pl3],Personal crime [Pl3],Economic and working conditions [Pl],Child poverty [Pl4],Job-related training [Pl4],Unemployment [Pl4],Workplace safety [Pl4],Living conditions [Pl],Air pollution [Pl5],Household overcrowding [Pl5],Noise complaints [Pl5],Road safety [Pl5],Rough sleeping [Pl5]
Area,2019,E92000001,ENGLAND,Country,99.6,98.2,94.7,102.3,98.5,95.6,97.8,100.6,100.2,102.9,101.7,99.7,102.2,105.9,99.3,101.5,94.1,99.8,100.6,99.8,99.2,99.1,99.7,99.9,99.8,100.5,100.5,102.5,102.0,97.3,97.1,95.2,102.2,102.3,107.7,108.6,107.2,111.6,100.6,108.8,107.6,100.6,97.5,100.1,98.3,98.7,97.7,101.2,100.3,101.9,100.3,99.9,99.9,100.3,99.4,100.0,99.5,103.2,98.3,94.2,99.6,89.5,104.1,101.0,98.6,107.9,103.9,102.2,98.9,107.2,100.9,101.1,98.1
Area,2019,E12000001,North East,Region,86.0,85.5,83.1,93.2,88.4,90.4,93.2,89.9,94.0,93.1,91.2,103.3,90.5,94.4,92.2,95.8,90.4,91.6,94.6,93.3,95.3,93.1,97.2,97.7,96.3,91.0,96.9,97.6,95.5,86.4,99.5,94.4,97.4,96.4,99.2,104.6,99.1,111.7,93.3,103.4,97.9,89.4,89.0,95.3,94.6,94.5,89.3,108.7,104.5,111.0,100.8,109.3,109.3,99.1,97.9,98.0,100.2,101.3,99.5,86.6,90.9,84.1,93.3,92.7,98.2,94.8,102.7,113.7,122.0,118.4,101.4,105.3,107.8
Area,2019,E06000001,Hartlepool,LTLA,83.1,74.1,69.1,88.5,95.2,99.3,95.0,94.8,98.5,88.9,84.8,106.3,84.9,91.5,93.0,98.1,86.5,90.9,97.9,91.8,95.0,93.0,97.0,100.0,92.5,87.6,94.8,83.0,77.8,80.3,89.5,80.3,81.5,76.0,112.6,93.4,93.8,112.4,83.2,100.4,90.9,87.6,72.9,96.3,83.0,74.9,79.6,101.0,96.0,105.8,97.0,111.3,111.3,103.0,101.0,97.0,111.6,101.7,99.9,76.7,79.6,77.1,89.6,90.6,107.6,89.2,93.5,112.3,117.5,119.5,101.1,104.8,104.6
Area,2019,E06000002,Middlesbrough,LTLA,77.9,74.7,84.6,74.1,78.6,90.2,92.0,78.0,83.5,79.8,75.3,104.3,76.3,81.1,91.8,95.1,103.5,86.2,90.2,100.1,105.4,98.3,100.9,103.2,102.5,96.8,96.9,82.8,84.5,84.4,83.6,87.1,90.4,84.7,95.2,99.3,80.2,94.5,70.5,96.5,80.4,73.9,83.2,103.6,93.3,88.3,84.1,97.0,92.4,102.4,88.1,112.5,112.5,102.6,101.8,101.7,101.8,103.6,102.2,72.0,78.5,69.5,83.3,79.3,94.8,89.1,115.6,100.9,110.7,103.1,96.5,97.0,96.4
Area,2019,E06000003,Redcar and Cleveland,LTLA,89.6,87.6,73.5,106.2,85.0,88.3,95.8,87.5,86.7,93.5,89.3,103.1,91.0,97.4,101.2,101.0,107.3,100.7,97.4,97.5,96.5,96.6,90.0,99.3,105.1,91.5,106.8,96.2,99.0,93.8,105.2,93.1,104.1,100.3,90.8,104.0,96.0,108.8,89.6,104.2,87.5,93.5,86.4,98.8,108.3,87.1,82.6,106.2,103.2,107.9,103.3,112.8,112.8,99.5,96.3,100.6,99.1,98.8,108.7,85.1,87.8,84.5,93.1,93.5,98.6,95.1,91.7,117.5,114.1,122.5,102.7,110.1,123.2
Area,2019,E06000004,Stockton-on-Tees,LTLA,90.4,94.3,87.0,103.7,93.7,92.7,91.5,91.5,106.5,95.2,94.1,100.9,92.0,98.1,96.6,99.9,90.7,94.5,100.9,87.5,91.8,89.3,83.7,93.1,93.8,87.3,93.1,98.8,91.7,86.4,96.9,98.6,90.0,89.1,89.9,110.4,102.8,115.0,100.0,112.8,97.1,84.0,95.0,90.9,94.8,95.6,97.2,106.6,101.6,110.2,98.5,112.0,112.0,95.4,93.3,95.6,97.2,99.5,95.2,85.7,89.4,84.0,95.9,95.8,109.0,94.7,101.0,107.5,115.0,117.2,89.5,104.6,100.2
Area,2019,E06000005,Darlington,LTLA,92.0,86.1,90.9,86.4,91.1,90.2,100.4,96.7,86.4,95.2,96.4,100.6,93.8,93.8,102.7,104.6,92.4,105.9,103.5,97.8,98.7,90.0,96.0,93.3,104.6,100.0,105.7,102.2,103.6,96.8,90.0,91.6,100.1,112.1,113.5,109.0,103.2,111.7,98.0,108.8,101.0,92.5,92.4,91.9,102.2,102.0,87.6,107.9,105.4,108.6,101.3,112.9,112.9,97.0,98.1,96.9,99.0,91.5,108.3,83.0,90.3,78.2,94.7,94.4,105.7,93.2,108.6,115.5,120.8,116.8,99.8,106.8,123.2
Area,2019,E06000047,County Durham,LTLA,87.5,87.2,81.3,97.7,90.7,91.8,93.8,99.2,87.0,94.4,93.4,104.6,91.7,94.4,93.3,98.1,87.6,92.9,96.3,92.2,97.9,90.6,97.7,96.6,96.2,88.2,96.4,99.5,95.0,94.0,101.6,97.6,96.5,94.1,93.3,99.8,101.4,111.5,99.6,102.7,101.4,89.9,89.4,92.9,92.1,98.4,89.3,112.6,107.3,115.2,104.6,111.5,111.5,96.2,95.6,93.8,101.1,97.7,96.0,88.5,94.9,83.7,94.6,93.9,108.7,95.8,94.1,120.5,125.8,127.3,100.3,113.7,112.8
Area,2019,E06000057,Northumberland,LTLA,88.2,92.0,87.9,98.9,80.6,87.6,94.2,77.6,89.1,102.4,102.0,105.1,99.4,104.0,95.5,98.7,94.5,94.0,96.8,89.8,90.6,92.5,96.6,94.5,100.2,86.1,92.6,111.3,111.7,87.9,111.3,106.2,112.9,114.5,98.6,111.3,108.0,117.0,103.1,109.8,104.8,97.6,103.0,91.7,102.9,96.5,104.5,113.6,114.2,110.0,105.9,108.5,108.5,86.1,84.9,89.0,86.9,91.2,95.9,96.8,99.9,94.2,96.6,96.8,84.4,99.3,99.9,126.2,128.9,133.3,112.6,121.2,99.1
Area,2019,E08000021,Newcastle upon Tyne,LTLA,77.0,86.4,90.0,87.8,86.5,92.9,83.7,88.2,98.0,92.0,88.8,98.9,90.9,95.2,78.6,82.7,77.9,80.5,84.6,78.7,73.1,89.9,89.5,84.8,83.5,85.2,82.3,92.6,98.7,80.2,85.7,89.4,106.7,101.1,108.5,111.0,92.6,108.3,85.6,97.4,97.3,79.9,81.9,83.7,87.8,100.8,79.7,103.2,100.5,105.2,89.0,95.1,95.1,104.6,104.5,104.2,101.5,110.0,92.3,81.6,84.1,81.8,90.2,87.3,91.1,93.1,121.9,101.9,122.9,101.7,94.6,95.0,95.6
